dataset	ATTR	CAUS_MOT	DITRAN	INTRAN_MOT	INTRAN_RES	INTRAN_S	PASSIVE	TRAN_RES	TRAN_S	Total
EWT-train	2058	641	235	502	172	1154	867	622	4900	11151
EWT-dev	258	61	31	55	23	135	102	77	598	1340
EWT-test	223	64	19	50	18	106	89	64	596	1229
en_eslwrit-train	1013	66	127	191	31	525	161	55	1969	4138
en_eslwrit-dev	147	13	18	27	9	75	24	11	270	594
en_eslwrit-test	129	8	15	32	4	62	19	10	249	528
en_eslspok-train	603	44	23	191	15	410	41	13	1105	2445
en_eslspok-dev	80	2	7	25	6	53	6	0	137	316
en_eslspok-test	77	7	7	24	2	62	3	3	143	328
	4588	906	482	1097	280	2582	1312	855	9967	22069
